year,month,mp1_tc,ff4_tc,ed2_tc,ed3_tc,ed4_tc
1992,10,0,0.0090646,0.0070646,-0.001,-0.002
1992,11,-0.0216625,0.0019355,0.0019355,0.0043334,0.0043334
1992,12,-0.0170834,-0.0029032,-0.0029032,0.0027634,-0.0059463
1993,1,0.0274858,-0.0070968,-0.0070968,-0.0070968,-0.0283871
1993,2,0,-0.0178571,0,0.0089285,0
1993,3,0,-0.0021429,0,0.0010715,0.0103226
1993,4,0,0,0,0,0.0296774
1993,5,-0.0108318,-0.0083871,-0.0083871,-0.0083871,-0.0125806
1993,6,-0.0149982,-0.0116129,-0.0116129,-0.0116129,-0.0174193
1993,7,0.0208721,0,-0.0077419,0,0
1993,8,0.0060878,0.0045161,0.0067742,0,0.0090322
1993,9,0,0.0084839,0.0109677,-0.003,0.0049677
1993,10,0,0.007,0,-0.007,-0.0139999
1993,11,0.0107708,0,0,0,0
1993,12,0.0123093,-0.0032258,0,0,-0.0258064
1994,1,0,-0.0067742,0,0,-0.0541936
1994,2,0.1458303,0,0.1339285,0.125,0.1428571
1994,3,0.0174965,0,-5.75E-05,-0.001129,0.0010139
1994,4,0.0649976,0.052,0.0007956,0.0051291,0.0051291
1994,5,0.1385798,0.0921935,0.0114625,0.0171291,0.0171291
1994,6,0.0571458,0.0258064,-0.036129,-0.0361291,-0.0361291
1994,7,-0.0416,0,0,0.0083871,0.0083871
1994,8,0.0559949,0,0.0154839,0.0067742,0.0016129
1994,9,0.0479952,-0.0039999,0.0118494,0.0035053,0
1994,10,-0.0780001,-0.026,-0.0173333,-0.0086666,0
1994,11,0.064,0.0426667,0.0213332,0.016,0.016
1994,12,-0.0312749,0.0179784,0.0225377,0.0178709,0.021742
1995,1,-0.1381851,-0.0306451,0.006129,0.006129,0.0122581
1995,2,0.06223,0,0.05,0.0600001,0.0599999
1995,3,-0.0012903,0.0025806,0.0025806,0.0025806,0.0025806
1995,4,-0.0087097,0.0174193,0.0174193,0.0174193,0.0174193
1995,5,2.86E-06,0,-0.0029032,-0.0029032,0
1995,6,7.15E-06,0,-0.0070968,-0.0070968,0
1995,7,-0.0936,-0.1258065,-0.2264516,-0.2180645,-0.2096775
1995,8,-0.0068935,-0.0241935,-0.0241935,-0.0225806,-0.0241935
1995,9,0.0283252,0.005,0.0506451,0.0539784,0.0422044
1995,10,0.0250083,0.025,0.05,0.0666667,0.0416666
1995,11,0.0213281,0,0.016,0.0106666,0.016
1995,12,-0.0192519,-0.0209677,0.0014195,-0.0032473,-0.0027742
1996,1,-0.0534642,-0.0296774,-0.0180647,-0.0183871,-0.0245161
1996,2,-0.0290419,-0.0193548,-0.0193548,-0.0290322,-0.0387096
